ID,Phase,Task,Subtasks,Depends On,Deliverable,Verify (how),Success Criteria,Pitfalls/Risks,Executor (agent/subagent),Review Gate (who/when),Status (todo/doing/done/blocked),Evidence (link/log/path),Blocker? (Y/N),Decision Needed (what),Decision Owner,Blocker Log Entry (path#line)
T1,0,Local infra up (Docker compose),Build+up compose; confirm app/pg/minio ports; document commands,docker installed,Local infra running on 30000+ ports,docker compose -f docker-compose.local.yml up -d --build; curl http://localhost:30080/health; docker compose ps; docker exec <pg> pg_isready,health ok; containers healthy; ports reachable,Port conflict; Apple silicon image issues; volume permissions,ops subagent (local-infra-up),主 agent 复核：检查 health/ps/端口,done,local-infra-up: health ok; pg_isready ok; minio console 200,N,,,
T2,0,Docs/runbook 与端口约定对齐,README/docker/compose 端口 30000+；文件发送规则；归档说明,T1,README + AGENTS 约定一致,rg 30080/30001/30002/30003 in README + docker-compose.local.yml,新同学照文档 10min 内跑通,文档漂移,主 agent,自检 + 宇宇过目,done,README.md 更新 + docker-compose.local.yml,N,,,
T3,0,前端技术栈/目录架构定稿（SaaS-ready）,选择 Next.js App Router；Zod schema；TanStack Query；表单/表格策略；组件分层规则；API 客户端约定,SAAS_REQUIREMENTS.md,技术选型 + 目录结构 + 组件分层规则（文档/ADR）,文档落在 docs/ 或 out/plan；能回答“新页面放哪/状态放哪/请求放哪”,后续扩展不散、可复用,过度工程；路由/状态重复,codex subagent + 主 agent整合,主 agent已复核并固化为规则,done,out/plan/FRONTEND_ARCH.md (stack+structure+rules+migration plan),N,,,
T4,0,Node/TS monorepo 骨架（不写业务）,pnpm workspace；apps/web apps/api packages/shared；lint/format；env.example；基础 CI（lint/build）,T3,可 build 的空壳工程,pnpm -r install; pnpm -r lint; pnpm -r build,web/api 都能构建；类型共享可用,工具链反复换导致返工,codex subagent,reviewer subagent（可选）+ 主 agent,done,commit 70b8a2f（Node monorepo skeleton + compose + README）已 push main,N,是否用 NestJS vs Fastify（推荐 NestJS）,宇宇,out/plan/BLOCKERS.md#L1
T5,0/1,DB schema baseline（tenant 核心）,选择 ORM（Prisma/Drizzle）；建 users/tenants/tenant_members；迁移与 seed,T4 + T1,迁移可跑 + seed 可建租户,docker exec pg psql or prisma migrate; basic CRUD,"迁移可重复执行；唯一约束按 (tenant_id, key)",tenant 维度漏掉导致返工,codex subagent,主 agent复核 schema + 约束,done,apps/api/prisma/schema.prisma + prisma/migrations/20260226170000_tenant_core_init (tenant core); prisma migrate dev OK (db in sync),N,ORM 选型（Prisma vs Drizzle）,宇宇,out/plan/BLOCKERS.md#L1
T6,1,Auth v0（email）+ tenant-scoped token + switch-tenant,email code/link（先 stub/本地）; login; JWT 带 tenant_id; switch-tenant re-issue; rate limit,T5,Auth endpoints + middleware,curl 登录/切租户；token decode 检查 tenant_id,token 必含 user_id+tenant_id；越权切租户被拒绝,投递可达性；token/tenant 不一致,codex subagent,主 agent + reviewer subagent（安全/越权）,done,Auth+Tenant v0 E2E: /Volumes/DATABASE/code/Eggturtle-breeding-library/docs/evidence/auth-v0-smoke-20260227.md + /Volumes/DATABASE/code/Eggturtle-breeding-library/docs/evidence/tenant-v0-smoke-20260227.md,N,login 采用 magic link 还是 email code（默认 code）,宇宇,out/plan/BLOCKERS.md#L1
T7,1,RBAC 骨架 + audit log,role 常量；deny-by-default guard；audit_logs 表；关键写操作写审计,T6,RBAC middleware + audit 写入,用不同角色调用受保护接口；查 audit_logs,默认拒绝；审计包含 actor/tenant/action/trace_id,过度记录/泄露敏感信息,codex subagent,reviewer subagent（安全/越权）,done,RBAC+Audit code+migration included; smoke evidence pending,N,权限粒度最小集合（先按 SAAS_REQUIREMENTS）,宇宇,out/plan/BLOCKERS.md#L1
T8,1,Web v0 pages（可体验闭环）,/login /onboarding /app/:tenantSlug shell；tenant switch UI；layout 组件层,T6,可手动体验登录->进入租户,pnpm dev + 浏览器手测,能走通主流程；UI 结构不散,路由/状态重复、组件散落,codex subagent,主 agent + codex 前端架构规则约束,done,Web v0 smoke: /Volumes/DATABASE/code/Eggturtle-breeding-library/docs/evidence/web-v0-smoke-20260227.md (login + tenants + switch),N,UI 组件库（shadcn/ui or MUI）,宇宇,out/plan/BLOCKERS.md#L1
T9,1,Legacy 功能对齐清单（parity checklist）,对照 FastAPI 路由清单；标注 SaaS 重构保留/废弃/改名；列验收用例,docs/API_OVERVIEW.md,对齐表 + 验收 checklist,逐条对照 API_OVERVIEW 与新栈路由,重构不漏核心能力,范围膨胀,主 agent,宇宇 review,done,out/plan/PARITY_CHECKLIST.md (legacy->SaaS feature mapping + next actions),N,哪些 legacy 模块直接 drop（carousels/featured/settings?),宇宇,out/plan/BLOCKERS.md#L1
T10,1+,StorageProvider 抽象（MinIO-ready）,定义接口；实现 S3(MinIO) + local；signed URL helper；key 规范 tenant 前缀,T4,可替换的存储层,单测 key 格式；本地 put/get；MinIO endpoint smoke,无硬编码磁盘路径；外链可控,key 冲突；直链泄露,codex subagent,主 agent,done,Products+StorageProvider smoke: /Volumes/DATABASE/code/Eggturtle-breeding-library/docs/evidence/products-storage-smoke-20260227.md,N,bucket 命名与环境划分（dev/staging/prod）,宇宇,out/plan/BLOCKERS.md#L1
T11,0,进度/卡点机制落地（供定时任务监控）,新增 BLOCKERS.md/PROGRESS.md；excel 状态同步规则；每次 subagent 完成写 evidence,None,两个文档 + excel 字段口径,更新一条 blocker；定时任务可 grep blocked,卡点可见、可绕开；不阻塞其它任务,没人维护导致失效,主 agent,宇宇确认格式,done,out/plan/BLOCKERS.md + out/plan/PROGRESS.md + OpenClaw cron job EggTurtle 1am progress (jobId 0f54d427-65cf-4566-b599-27b7af097911),N,定时任务频率与输出方式（群里/只写文件）,宇宇,out/plan/BLOCKERS.md#L1
T12,1,Featured 管理（运营位）MVP-05（API+Web+evidence）,,,,,,,codex subagent + main agent (evidence),,done,docs/evidence/featured-smoke-20260227.md (API curl + web build),,,,
T13,2,公开分享页（任何人可看）+ shareToken 稳定入口 + 动态签名URL/302跳转,,"StorageProvider, Product/ProductImage",,,,,codex subagent + 主 agent（push+merge）,,done,Merged to main: commit d9ae5c2; doc docs/public-share.md; migration 20260227130500_public_shares,,,,
T14,1,Web 路由收敛为 /app/[tenantSlug]/...（与 token tenantId 一致）,,Tenant v0,,,,,codex subagent + 主 agent（push+merge）,,done,Merged to main: commit db145e8; routes unified under /app/[tenantSlug]/...,,,,
T15,1,RBAC 收敛为 4 角色 + 默认 VIEWER + Deny-by-default（读写都校验 membership）,,"Auth, Tenant",,,,,codex subagent + 主 agent（push+merge）,,done,Merged to main: commit 63787f1; migration apps/api/prisma/migrations/20260227124500_rbac_remove_member_role,,,,
T16,1,"Product.code 强业务键：强制非空 + (tenantId, code) 唯一约束",,Products,,,,,codex subagent + 主 agent（rebase+merge）,,done,Merged to main: commit 5c8dff9; migration apps/api/prisma/migrations/20260227113000_product_code_required_unique,,,,
T17,1,业务 spec 归档到 docs/spec/ 并更新现有 README/evidence（与拍板口径一致）,,Spec alignment review,,,,,codex subagent + 主 agent（push+merge）,,done,Merged to main: commit 8d52f6b; docs/spec/SAAS_SPEC.md; docs/README.md,,,,
T18,2,AI Phase A（建议型照片分析）: quota/计费口径 + 接口预留（先 spec 后实现）,,Public share/growth,,,,,codex subagent + 主 agent（push+merge）,,done,Merged to main: commit 8d52f6b; docs/spec/AI_QUOTA_BILLING.md; packages/shared/src/ai.ts,,,,
T22,3,P1 场景分析 + UI/UX 测试数据需求清单（含边界/异常样例）,"1) 场景列表：登录/切租户/产品列表/产品详情/图片上传/Featured 管理/分享页/权限拒绝/异常提示
2) UX 断言：页面入口、空态、加载态、错误态、权限态（403/402/404）
3) 数据需求：每租户产品数/多图/无图/长文/重复code/跨租户隔离样例
4) 最小账号矩阵：OWNER/EDITOR/VIEWER + super-admin",,docs/spec/SCENARIOS_UX_TEST_DATA.md,文档 + 数据集清单可直接转成造数脚本输入与 UI 测试 checklist,覆盖主流程 + 关键异常；数据规模足够做 UI/UX 评审与回归,避免引入真实敏感数据；图片尽量走可控 MinIO；外链不可用要有占位图策略,codex subagent,,done,Merged to main: unknown (docs/spec/SCENARIOS_UX_TEST_DATA.md),,,,
